"No.","Time","Source","Destination","Protocol","Length","Info"
"51","0.149659000","fe80::b5e6:ab10:6bd3:492","ff02::1:3","LLMNR","84","Standard query 0x0472  A wpad"
"52","0.149660000","140.138.149.76","224.0.0.252","LLMNR","64","Standard query 0x0472  A wpad"
"62","0.249950000","fe80::b5e6:ab10:6bd3:492","ff02::1:3","LLMNR","84","Standard query 0x0472  A wpad"
"63","0.249951000","140.138.149.76","224.0.0.252","LLMNR","64","Standard query 0x0472  A wpad"
"127","0.736938000","140.138.148.138","140.138.2.109","DNS","102","Standard query 0x9d85  A cqi25izlyk27jtpta47fzgqb38mumuh54ktaw.info"
"133","0.797621000","fe80::5c7:7e0d:4e9c:d1d0","ff02::1:3","LLMNR","84","Standard query 0x9ac0  A wpad"
"134","0.797624000","140.138.149.73","224.0.0.252","LLMNR","64","Standard query 0x9ac0  A wpad"
"176","0.897358000","fe80::5c7:7e0d:4e9c:d1d0","ff02::1:3","LLMNR","84","Standard query 0x9ac0  A wpad"
"177","0.897360000","140.138.149.73","224.0.0.252","LLMNR","64","Standard query 0x9ac0  A wpad"
"223","1.034825000","140.138.2.109","140.138.148.138","DNS","162","Standard query response 0x9d85 No such name"
"340","2.539119000","140.138.148.138","140.138.2.109","DNS","103","Standard query 0x3b08  A iqith14bvgwlwa47oze61psium29l28fzm29b68.biz"
"345","2.568000000","140.138.2.109","140.138.148.138","DNS","165","Standard query response 0x3b08 No such name"
"479","4.020822000","fe80::88c6:5f5:dad3:2965","ff02::1:3","LLMNR","84","Standard query 0xa8d3  A wpad"
"480","4.020824000","140.138.148.124","224.0.0.252","LLMNR","64","Standard query 0xa8d3  A wpad"
"485","4.073744000","140.138.148.138","140.138.2.109","DNS","98","Standard query 0xa6b3  A m69c69nwhypxnqfrlse21gwjrgzeufyctar.ru"
"493","4.120863000","fe80::88c6:5f5:dad3:2965","ff02::1:3","LLMNR","84","Standard query 0xa8d3  A wpad"
"494","4.120863000","140.138.148.124","224.0.0.252","LLMNR","64","Standard query 0xa8d3  A wpad"
"526","4.412803000","140.138.2.109","140.138.148.138","DNS","159","Standard query response 0xa6b3 No such name"
"558","4.636393000","fe80::cb2:353f:d47e:9c2d","ff02::1:3","LLMNR","84","Standard query 0x9351  A wpad"
"559","4.636396000","140.138.149.74","224.0.0.252","LLMNR","64","Standard query 0x9351  A wpad"
"578","4.735748000","fe80::cb2:353f:d47e:9c2d","ff02::1:3","LLMNR","84","Standard query 0x9351  A wpad"
"579","4.735749000","140.138.149.74","224.0.0.252","LLMNR","64","Standard query 0x9351  A wpad"
"581","4.745444000","140.138.148.10","224.0.0.252","LLMNR","69","Standard query 0x32ff  A NPI6063F1"
"582","4.746504000","140.138.148.10","224.0.0.252","LLMNR","69","Standard query 0xcd62  AAAA NPI6063F1"
"588","4.846997000","140.138.148.10","224.0.0.252","LLMNR","69","Standard query 0xcd62  AAAA NPI6063F1"
"608","5.162331000","140.138.148.10","224.0.0.252","LLMNR","69","Standard query 0x69a6  A NPI6063F1"
